,subject,predicate,object
34,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33514,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
35,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/730333,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/730330
36,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/160964,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/27577
37,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6392,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
38,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/148441,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/7968
39,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/236535,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
40,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/31277,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
41,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8143,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
42,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/291982,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/69695
43,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/111534,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
44,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/7599,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/41242
45,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6479,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
46,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/51137,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/7953
47,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/371451,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/82098
48,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6758,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1343471
49,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1709201,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
50,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1293356,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
51,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6581,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/106231
52,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8157,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1489907
53,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/683979,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
54,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/42333,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/32187
55,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/138847,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33831
56,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/109671,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
57,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/441279,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/186076
58,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/26319,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/16360
59,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/404260,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
60,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/111534,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1345656
61,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/79705,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
62,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/116560,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
63,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8130,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
64,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1628325,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
65,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/62339,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
66,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/67555,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
67,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/466578,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
68,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/283210,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
69,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/186628,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/186626
70,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/406427,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/37516
71,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/4004,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
72,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6391,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
73,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/127404,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/127403
74,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6074,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
75,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/29052,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
76,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8176,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8169
77,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/85048,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/52386
78,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6592,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/74489
79,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/451868,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
80,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8040,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
81,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/589449,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
82,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/523164,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/82616
83,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/59291,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/27772
84,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8092,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1490021
85,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/236908,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/236348
86,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8080,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
87,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8219,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1489878
88,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/55709,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/55708
89,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/163722,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
90,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/158621,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/263631
91,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/219545,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/50384
92,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/234875,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
